C-Elemental(n,total) ENDF/B-VII.1
1.0E-5,79.2204
1.31241E-5,69.1846
1.70876E-5,60.6689
2.2426E-5,53.001
2.91987E-5,46.4972
3.83206E-5,40.6437
4.98935E-5,35.682
6.54808E-5,31.2202
8.52562E-5,27.4424
1.11891E-4,24.0501
1.45682E-4,21.1831
1.91195E-4,18.6149
2.48937E-4,16.4512
3.26707E-4,14.5208
4.25373E-4,12.9029
5.58264E-4,11.4691
7.26861E-4,10.2775
9.53941E-4,9.23277
0.00136346,8.10693
0.00194878,7.22252
0.00278538,6.54171
0.00433567,5.92874
0.00680278,5.50718
0.0126596,5.15473
0.0234661,4.96356
0.0253,4.94727
0.0883169,4.79909
8.42491,4.74129
145000.0,4.28386
150500.0,4.36687
152900.0,4.5195
157000.0,4.29602
203240.0,4.111
550000.0,3.30323
925000.0,2.67982
1362500.0,2.16307
1725000.0,1.85016
1736000.0,1.86241
1755000.0,1.82804
2025000.0,1.65917
2054500.0,1.71492
2061000.0,1.81672
2065000.0,1.98739
2067500.0,2.21307
2069500.0,2.53887
2071000.0,2.93342
2072250.0,3.43858
2073500.0,4.13437
2076000.0,5.75381
2077000.0,6.02651
2078000.0,5.8595
2079750.0,4.91727
2081500.0,3.96356
2083000.0,3.35903
2084500.0,2.95286
2086500.0,2.59222
2089000.0,2.31722
2093000.0,2.07966
2099000.0,1.91061
2110000.0,1.78587
2130000.0,1.71052
2200000.0,1.63321
2400000.0,1.58292
2580000.0,1.62801
2710000.0,1.75491
2792500.0,1.93656
2809000.0,2.02296
2811500.0,2.10591
2812000.0,2.14529
2813000.0,2.35644
2813880.0,3.06415
2814120.0,3.40702
2814880.0,4.80206
2815000.0,4.88536
2815190.0,4.63204
2815940.0,2.95531
2816120.0,2.7283
2817000.0,2.30523
2818000.0,2.16247
2820000.0,2.08694
2824000.0,2.06745
2860000.0,2.24381
2895000.0,2.55489
2942000.0,3.21836
2944000.0,3.22936
2952000.0,3.17013
2960000.0,2.91003
2971000.0,2.26093
2980000.0,1.72394
2986000.0,1.46786
2992000.0,1.29117
2998000.0,1.19401
3005000.0,1.14996
3010000.0,1.12979
3025000.0,1.17396
3110000.0,1.62851
3220000.0,2.05946
3360000.0,2.46439
3480000.0,2.63239
3520000.0,2.64419
3640000.0,2.56539
4055000.0,1.8532
4110000.0,1.80982
4160000.0,1.85724
4200000.0,2.00432
4250000.0,2.23183
4270000.0,2.26083
4320000.0,2.15848
4430000.0,1.81445
4560000.0,1.57265
4780000.0,1.3262
4900000.0,1.25189
4921560.0,1.29086
4930190.0,1.35375
4934500.0,1.40686
4935500.0,1.75338
4936700.0,1.99867
4936960.0,2.00737
4938450.0,1.97966
4939500.0,1.78963
4943200.0,1.46728
4948100.0,1.32684
4958400.0,1.25953
5000000.0,1.18403
5001000.0,1.19464
5100000.0,1.15111
5120000.0,1.11265
5150000.0,1.13563
5330000.0,1.04593
5335000.0,1.07854
5340000.0,1.0294
5359940.0,1.5799
5362000.0,1.81924
5370000.0,1.98976
5380000.0,1.68065
5390000.0,1.46319
5400000.0,1.32811
5415000.0,1.24444
5435000.0,1.19499
5460000.0,1.14579
5550000.0,1.10141
5553000.0,1.11066
5700000.0,1.06821
6051500.0,1.10604
6160000.0,1.16236
6200000.0,1.22799
6215000.0,1.28384
6230000.0,1.3453
6250000.0,1.50441
6292500.0,2.63686
6295000.0,2.70782
6304380.0,2.55212
6315000.0,2.14773
6320000.0,1.93636
6335000.0,1.61183
6340000.0,1.52154
6350000.0,1.48293
6360000.0,1.5988
6370000.0,1.40692
6390000.0,1.17899
6420000.0,1.09025
6430000.0,1.10264
6445000.0,1.07968
6450000.0,1.07972
6510000.0,1.0372
6540000.0,0.971833
6565000.0,0.809261
6570000.0,0.769727
6580000.0,0.732546
6590000.0,0.7431
6600000.0,0.737996
6620000.0,0.781631
6640000.0,0.764519
6658000.0,0.934477
6665000.0,0.863605
6680000.0,0.842781
7000000.0,0.744983
7053000.0,0.749059
7100000.0,0.748818
7180000.0,0.797715
7231250.0,0.910045
7260000.0,1.02288
7275000.0,1.10387
7345000.0,1.70032
7350000.0,1.75537
7365000.0,1.78202
7370000.0,1.80812
7499500.0,1.75476
7620000.0,1.70102
7655250.0,1.74096
7680000.0,1.8089
7700000.0,1.93304
7745000.0,2.42454
7799500.0,2.09836
7810000.0,2.05392
7819000.0,2.05872
7936000.0,1.89158
8000000.0,1.85297
8005000.0,1.86289
8010000.0,1.81779
8014000.0,1.85412
8044000.0,1.84332
8061500.0,1.88345
8079000.0,1.88437
8080000.0,1.87659
8101000.0,1.90223
8160000.0,1.71468
8210000.0,1.47123
8296200.0,1.25976
8400000.0,1.13705
8448000.0,1.11788
8450000.0,1.10232
8480000.0,1.10696
8500000.0,1.07629
8520000.0,1.0833
8553000.0,1.06643
8600000.0,1.07955
8664000.0,1.0653
8700000.0,1.06811
8750000.0,1.0615
8867500.0,1.08738
8885000.0,1.0975
8920000.0,1.08647
9002500.0,1.14278
9049000.0,1.18623
9053000.0,1.19745
9067000.0,1.19704
9163000.0,1.30725
9180000.0,1.30236
9219000.0,1.33061
9250000.0,1.32607
9254000.0,1.33907
9553000.0,1.2237
9560000.0,1.22999
9600000.0,1.21932
9640000.0,1.23141
9680000.0,1.2241
9700000.0,1.23607
9726000.0,1.231
9740000.0,1.24575
9750000.0,1.22676
9800000.0,1.22934
9821000.0,1.21755
9830000.0,1.21874
9900000.0,1.18224
9917000.0,1.18288
1.0025E7,1.1603
1.01115E7,1.1285
1.03E7,1.11163
1.0489E7,1.1875
1.0536E7,1.21204
1.055E7,1.20998
1.092E7,1.41565
1.094E7,1.42017
1.1004E7,1.40068
1.1053E7,1.40118
1.1096E7,1.38904
1.117E7,1.40118
1.1708E7,1.33694
1.175E7,1.35426
1.1751E7,1.34972
1.19E7,1.4126
1.1909E7,1.4082
1.2053E7,1.44983
1.2088E7,1.44912
1.21E7,1.45152
1.23E7,1.34532
1.24E7,1.32502
1.2945E7,1.41273
1.299E7,1.42342
1.3053E7,1.41558
1.312E7,1.41637
1.328E7,1.39502
1.33E7,1.39726
1.35E7,1.39279
1.354E7,1.39995
1.3553E7,1.39947
1.3587E7,1.40044
1.3822E7,1.34871
1.383E7,1.34884
1.39825E7,1.31641
1.4E7,1.30236
1.425E7,1.33423
1.4419E7,1.31217
1.46735E7,1.37115
1.475E7,1.38063
1.4767E7,1.37748
1.4909E7,1.39922
1.4927E7,1.39647
1.4954E7,1.39694
1.4962E7,1.39677
1.4996E7,1.40337
1.5E7,1.39763
1.5178E7,1.4296
1.597E7,1.51348
1.599E7,1.51004
1.6E7,1.51548
1.6347E7,1.43541
1.6443E7,1.43816
1.6974E7,1.3957
1.7074E7,1.40586
1.73E7,1.39457
1.7301E7,1.40495
1.7467E7,1.40113
1.8053E7,1.45269
1.8087E7,1.44679
1.8158E7,1.4679
1.846E7,1.46166
1.87E7,1.48723
1.8833E7,1.48514
2.0E7,1.507
2.1E7,1.42601
2.2E7,1.403
2.4E7,1.413
4.75E7,0.985116
6.05E7,0.806876
7.9E7,0.620145
9.4E7,0.516127
1.1E8,0.44388
1.33E8,0.370712
1.5E8,0.335371
